City,State,Rank,Population,lat,lon
New York,New York,1,8405837,40.7127837,-74.0059413
Los Angeles,California,2,3884307,34.0522342,-118.2436849
Chicago,Illinois,3,2718782,41.8781136,-87.6297982
Houston,Texas,4,2195914,29.7604267,-95.3698028
Philadelphia,Pennsylvania,5,1553165,39.9525839,-75.1652215
Phoenix,Arizona,6,1513367,33.4483771,-112.0740373
San Antonio,Texas,7,1409019,29.4241219,-98.4936282
San Diego,California,8,1355896,32.715738,-117.1610838
Dallas,Texas,9,1257676,32.7766642,-96.7969879
San Jose,California,10,998537,37.3382082,-121.8863286
Austin,Texas,11,885400,30.267153,-97.7430608
Indianapolis,Indiana,12,843393,39.768403,-86.158068
Jacksonville,Florida,13,842583,30.3321838,-81.655651
San Francisco,California,14,837442,37.7749295,-122.4194155
Columbus,Ohio,15,822553,39.9611755,-82.9987942
Charlotte,North Carolina,16,792862,35.2270869,-80.8431267
Fort Worth,Texas,17,792727,32.7554883,-97.3307658
Detroit,Michigan,18,688701,42.331427,-83.0457538
El Paso,Texas,19,674433,31.7775757,-106.4424559
Memphis,Tennessee,20,653450,35.1495343,-90.0489801
Seattle,Washington,21,652405,47.6062095,-122.3320708
Denver,Colorado,22,649495,39.7392358,-104.990251
Washington,District of Columbia,23,646449,38.9071923,-77.0368707
Boston,Massachusetts,24,645966,42.3600825,-71.0588801
Nashville,Tennessee,25,634464,36.1626638,-86.7816016
Baltimore,Maryland,26,622104,39.2903848,-76.6121893
Oklahoma City,Oklahoma,27,610613,35.4675602,-97.5164276
Louisville,Kentucky,28,609893,38.2526647,-85.7584557
Portland,Oregon,29,609456,45.5230622,-122.6764816
Las Vegas,Nevada,30,603488,36.1699412,-115.1398296
Milwaukee,Wisconsin,31,599164,43.0389025,-87.9064736
Albuquerque,New Mexico,32,556495,35.0853336,-106.6055534
Tucson,Arizona,33,526116,32.2217429,-110.926479
Fresno,California,34,509924,36.7468422,-119.7725868
Sacramento,California,35,479686,38.5815719,-121.4943996
Long Beach,California,36,469428,33.7700504,-118.1937395
Kansas City,Missouri,37,467007,39.0997265,-94.5785667
Mesa,Arizona,38,457587,33.4151843,-111.8314724
Virginia Beach,Virginia,39,448479,36.8529263,-75.977985
Atlanta,Georgia,40,447841,33.7489954,-84.3879824
Colorado Springs,Colorado,41,439886,38.8338816,-104.8213634
Omaha,Nebraska,42,434353,41.2523634,-95.9979883
Raleigh,North Carolina,43,431746,35.7795897,-78.6381787
Miami,Florida,44,417650,25.7616798,-80.1917902
Oakland,California,45,406253,37.8043637,-122.2711137
Minneapolis,Minnesota,46,400070,44.977753,-93.2650108
Tulsa,Oklahoma,47,398121,36.1539816,-95.992775
Cleveland,Ohio,48,390113,41.49932,-81.6943605
